GROUP_CLEAN	TEXT_ORI	TEXT_CLEAN1	TEXT_CLEAN2
传真问题	用户来电无法发送，可以接收，带用户恢复默认值，纠错降速，运行传真测试正常，和800测试，可以接收 time stamp :12/30/2014 11:26:18 angie.zhang	用户来电无法发送，可以接收，带用户恢复默认值，纠错降速，运行传真测试正常，和800测试，可以接收	发送 ，带 恢复 默认值 纠错 降速 运行 传真 测试 800 测试
传真问题	运行测试，传真四步，测试正常。 time stamp :12/30/2014 11:36:25 dick.lu	运行测试，传真四步，测试正常。	运行 测试 传真 四步 测试
传真问题	咨询能否多页传真，告知可以，告知操作方法，回电 回电：设置成了呼叫转移 回电：能正常传真 time stamp :12/30/2014 15:22:26 elma.sun	咨询能否多页传真，告知可以，告知操作方法，回电 回电：设置成了呼叫转移 回电：能正常传真	咨询 多页 传真 操作 方法 设置 成 呼叫 转移 传真
传真问题	会打印传真错误报告，关闭一下ok time stamp :12/30/2014 12:41:39 kim.yuan	会打印传真错误报告，关闭一下ok	会 打印 传真 错误 报告 关闭
传真问题	用户来电 电话听筒没声音 运行传真测试 失败 建议直连 自行尝试 time stamp :12/29/2014 16:38:46 xiaoya.peng 回电无人接听 time stamp :12/30/2014 09:23:30 xiaoya.peng 回电通话中 time stamp :12/30/2014 12:09:48 xiaoya.peng 回电问题解决 time stamp :12/30/2014 14:36:30 xiaoya.peng	用户来电 电话听筒没声音 运行传真测试 失败 建议直连 自行尝试	听筒 没 声音 运行 传真 测试 失败 直 自行
无法打印	无法打印，复印正常，没有打印机图标，卸载驱动，从新安装驱动。 time stamp :12/29/2014 15:44:08 mas.shi 回电，问题解决。 time stamp :12/29/2014 17:25:41 mas.shi 〉用户来电，表示无法打印了，复印正常，打印机测试页打印任务一闪而过，直接打印到打印机，再使用后台打印，提示0个文档被挂起，检查打印机端口，正常；建议重装驱动 time stamp :12/30/2014 10:02:49 tommy.zheng 再次来电重装驱动无效 再次更改设置无效 发送替代驱动 预约回电 再次来电：带用户解压后，添加1108驱动后可以正常打印了，并告知用户是系统问题 time stamp :12/30/2014 11:19:27 zoro.wang	无法打印，复印正常，没有打印机图标，卸载驱动，从新安装驱动。	打印 复印 没有 打印机 图标 卸载 驱动 从新 安装 驱动
传真问题	无法传真，核实线路正常，恢复默认值，测试正常使用 time stamp :12/30/2014 13:36:37 jim.li	无法传真，核实线路正常，恢复默认值，测试正常使用	传真 核实 线路 恢复 默认值 测试
不能打印	不能打印，打印端口正常，服务开启，无打印机图标，添加打印机显示系统找不到文件，换电脑添加打印机也是这个情况，建议送修 time stamp :12/30/2014 16:09:08 elma.sun	不能打印，打印端口正常，服务开启，无打印机图标，添加打印机显示系统找不到文件，换电脑添加打印机也是这个情况，建议送修	打印 打印 端口 开启 无 打印机 图标 添加 打印机 显示 系统 找不到 文件 ，换 电脑 添加 打印机 情况
传真问题	用户表示电话打出去正常，打进来就是传真信号音，带用户设置为手动。ok time stamp :12/30/2014 12:22:38 cm.feng	用户表示电话打出去正常，打进来就是传真信号音，带用户设置为手动。ok	出 去 进 传真 信号 音， 带 设置 手 动
传真问题	无法收发传真，线路连错，更换线路ok time stamp :12/30/2014 14:09:23 wook.zhang	无法收发传真，线路连错，更换线路ok	收发 传真 线路 错， 线路
打印问题	硒鼓取不出来，新机，还有卡纸，建议联系经销商或者送修检测 time stamp :12/30/2014 14:19:54 dick.lu	硒鼓取不出来，新机，还有卡纸，建议联系经销商或者送修检测	硒鼓 取 不 ，新 机， 卡纸 送 修 检测
不能打印	用户来电表示无法打印，自检正常，打印机图标正常，打印测试页失败，带用户刷端口尝试打印测试页失败，建议用户重装驱动 time stamp :12/29/2014 13:37:58 eirsen.zha 回电无人接听 time stamp :12/29/2014 15:54:58 eirsen.zha 回电用户表示可以正常打印，用户表示经常出现错误传真报告带用户关闭，问题已解决 time stamp :12/30/2014 13:38:04 eirsen.zha	用户来电表示无法打印，自检正常，打印机图标正常，打印测试页失败，带用户刷端口尝试打印测试页失败，建议用户重装驱动	打印 自检 打印机 图标 打印 测试 页 失败 ，带 刷 端口 打印 测试 页 失败 重 装 驱动
打印问题	用户网络连接不能打印显示网络电缆断开，确定了网线没问题，建议送修检测网口 time stamp :12/30/2014 16:02:39 kim.yuan	用户网络连接不能打印显示网络电缆断开，确定了网线没问题，建议送修检测网口	网络 连接 打印 显示 网络 电缆 断开 网线 没 送 修 检测 网口
打印质量	自检不正常清洁校准换磨合无效建议检测机器。 time stamp :12/30/2014 10:50:02 luna.shi	自检不正常清洁校准换磨合无效建议检测机器。	自检 不 清洁 校准 换 磨合 无效 检测 机器
不能传真	运行传真测试通过，恢复默认值，纠错降速，打印时缺少模块，建议添加net3.5，要求发送使用说明，设置关闭错误报告 time stamp :12/29/2014 13:06:52 angela.gu 回电：已安装，可以正常使用 time stamp :12/30/2014 16:12:20 angela.gu	运行传真测试通过，恢复默认值，纠错降速，打印时缺少模块，建议添加net 3.5，要求发送使用说明，设置关闭错误报告	运行 传真 测试 恢复 默认值 纠错 降速 打印 时 缺少 模块 添加 net 3.5 发送 设置 关闭 错误 报告
无法打印	复印正常，打印任务一闪而过，直接打印打印机，再使用后台打印，无效；添加替代驱动，打印正常，问题解决 time stamp :12/30/2014 11:30:33 tommy.zheng	复印正常，打印任务一闪而过，直接打印打印机，再使用后台打印，无效；添加替代驱动，打印正常，问题解决	复印 打印 一闪而过 打印 打印机 后 台 打印 无效 添加 替代 驱动 打印
无法打印	用户表示没有驱动，建议下载驱动 time stamp :12/23/2014 16:18:26 harlin.min 回电，问题已解决 time stamp :12/25/2014 09:06:15 harlin.min	用户表示没有驱动，建议下载驱动	没有 驱动 下载 驱动
驱动安装	用户驱动安装不上表示要换台电脑试试，待回电 来电需要驱动连接 time stamp :12/26/2014 15:31:43 cindy.luo 回电，人在不在 time stamp :12/29/2014 09:07:57 cindy.luo 回电，不通 time stamp :12/29/2014 16:45:31 cindy.luo 回电 人不在 time stamp :12/30/2014 09:25:51 emily.zhang	用户驱动安装不上表示要换台电脑试试，待回电 来电需要驱动连接	驱动 安装不上 换 台 电脑 试试 ，待 驱动 连接
不能打印	驱动安装过程中最后提示要求打开三个文件，添加打印机也是同样问题，添加过net3.5，端口正常，建议换电脑时用户表示机器没问题，电脑系统问题 time stamp :12/30/2014 16:27:27 angela.gu	驱动安装过程中最后提示要求打开三个文件，添加打印机也是同样问题，添加过net 3.5，端口正常，建议换电脑时用户表示机器没问题，电脑系统问题	驱动 安装 过程 提示 打开 三个 文件 添加 打印机 添加 net 3.5 端口 换 电脑 时 机器 没 电脑 系统
扫描问题	用户表示不知道怎么扫描 带用户使用hpscan扫描 time stamp :12/30/2014 10:39:19 rena.ren	用户表示不知道怎么扫描 带用户使用hpscan扫描	不 扫描 带 hpscan 扫描
驱动安装	经销商来电，打印机驱动装不上，换了驱动换了电脑换了系统还是报同样的错，pclms报错，建议送修检测，有问题联系上级经销商 time stamp :12/30/2014 09:42:14 kim.yuan	经销商来电，打印机驱动装不上，换了驱动换了电脑换了系统还是报同样的错，pclms报错，建议送修检测，有问题联系上级经销商	打印机 驱动 装不上 换 驱动 换 电脑 换 系统 报 错， pclms 报错 送 修 检测 上级
传真问题	用户来电打印机不能收发传真，运行传真测试，正常，和800测试，正常，调为手动，和800测试失败，显示通讯错误，用户是光纤线路告知可能会不太兼容，恢复默认纠错降速，和800测试只能收到一半的传真，固件201409013，用户不要固件更新，自己在测试，不行送修 time stamp :12/30/2014 13:53:30 eva.xiao	用户来电打印机不能收发传真，运行传真测试，正常，和800测试，正常，调为手动，和800测试失败，显示通讯错误，用户是光纤线路告知可能会不太兼容，恢复默认纠错降速，和800测试只能收到一半的传真，固件201409013，用户不要固件更新，自己在测试，不行送修	打印机 收发 传真 运行 传真 测试 800 测试 ，调 手 动 800 测试 失败 显示 通讯 错误 光纤 线路 会 不 恢复 默认 纠错 降速 800 测试 只能 收到 一半 传真 固件 201409013 固件 更新 测试 不行
无法打印	双面打印无法勾选，建议重装驱动 time stamp :12/26/2014 10:12:26 tommy.zheng 〉回电，无人接听 time stamp :12/26/2014 13:10:42 tommy.zheng 〉回电，无人接听 time stamp :12/30/2014 09:15:51 tommy.zheng 〉回电，无人接听 time stamp :12/30/2014 12:02:53 tommy.zheng	双面打印无法勾选，建议重装驱动	双面 打印 勾选 重 装 驱动
传真问题	传真问题，复印打印正常，打印传真测试页线路通过，恢复默认值，关闭错误更正，传真降速，与800测试成功，问题解决。 用户来电 和其他朋友测试传真不成功 回电手机 ：和我们测试 ok 对方原因造成 time stamp :12/30/2014 14:30:42 windy.zhuang	传真问题，复印打印正常，打印传真测试页线路通过，恢复默认值，关闭错误更正，传真降速，与800测试成功，问题解决。 用户来电 和其他朋友测试传真不成功 回电手机 ：和我们测试 ok 对方原因造成	传真 复印 打印 打印 传真 测试 页 线路 恢复 默认值 关闭 错误 更 正， 传真 降速 800 测试 成功 测试 传真 不 成功 手机 测试 对方 原因
传真问题	用户来电传真有问题 打印机不是自己的 让其他人来电 time stamp :12/30/2014 12:55:11 xiaoya.peng	用户来电传真有问题 打印机不是自己的 让其他人来电	电传 真 打印机 不 其他人 电
无法打印	用户表示无法打印 复印正常 图标脱机 取消脱机 无法打印测试页 端口没有 换usb接口 出现打印端口 服务正常 删文挡 打印测试页无法打印 重装驱动 time stamp :12/29/2014 16:01:03 rena.ren 回电两次都不再服务区 回电 用户处理好了 time stamp :12/30/2014 16:28:12 rena.ren	用户表示无法打印 复印正常 图标脱机 取消脱机 无法打印测试页 端口没有 换usb接口 出现打印端口 服务正常 删文挡 打印测试页无法打印 重装驱动	打印 复印 图标 脱机 取消 脱机 打印 测试 页 端口 没有 换 usb 接口 打印 端口 删文 挡 打印 测试 页 打印 重 装 驱动
驱动安装	安装报错 无法安装 但是带用户查看时又表示打印能用 但是扫描没安装上 发送readiris14 time stamp :12/29/2014 14:47:01 monica.yu 回电 已解决 但是用户还是想用光盘带的 建议可以换系统尝试 用户表示以后试试 time stamp :12/30/2014 11:04:28 monica.yu	安装报错 无法安装 但是带用户查看时又表示打印能用 但是扫描没安装上 发送readiris14	安装 报错 安装 带 查看 时 打印 扫描 没 安 装 上 发送 readiris 14
驱动问题	无法打印，其他正常，刷端口，不行，删oem，关闭防护软件，重装 time stamp :12/25/2014 15:05:47 sing.yuan 回电重装驱动也不行，添加替代驱动，不行，建议重装系统 time stamp :12/25/2014 16:13:52 sing.yuan 回电未安装，预约后天回电 time stamp :12/29/2014 13:08:55 angie.zhang	无法打印，其他正常，刷端口，不行，删oem，关闭防护软件，重装	打印 ，刷 端口 不行 删 oem 关闭 防护 软件 重装
传真问题	运行传真测试，恢复默认值，纠错降速，与800测试成功。 time stamp :12/30/2014 09:02:21 mengna.xu	运行传真测试，恢复默认值，纠错降速，与800测试成功。	运行 传真 测试 恢复 默认值 纠错 降速 800 测试 成功
打印问题	液晶面板上提示耗材内存错误，里面的东西都去掉了，把硒鼓拿出来重新放可以 time stamp :12/30/2014 10:16:12 magic.zhang	液晶面板上提示耗材内存错误，里面的东西都去掉了，把硒鼓拿出来重新放可以	液晶 面板 上 提示 耗材 内存 错误 东西 去 掉 硒鼓 放
传真问题	1157：回电3次，无人接听 time stamp :12/30/2014 17:28:59 cindy.gu	1157：回电3次，无人接听	1157 3次 无 人
打印问题	1157：网络连接，其中2台电脑不能打印，打印机属性里面高级里设置，打印ok time stamp :12/30/2014 12:50:55 cindy.gu	1157：网络连接，其中2台电脑不能打印，打印机属性里面高级里设置，打印ok	1157 网络 连接 2台 电脑 打印 打印机 属性 高级 里 设置 打印
传真问题	不能收发传真，运行传真测试，恢复默认值，测试成功 time stamp :12/24/2014 13:50:57 serena.zhao1 再次来电页面卡在等待复印那个页面 按任何键都无反应 重启机器正常 跟她测试一百个不愿意 和第三方测试了 time stamp :12/30/2014 15:27:27 joy.cheng 回电又要测试了 测试正常 查保 在保 time stamp :12/30/2014 17:13:31 joy.cheng	不能收发传真，运行传真测试，恢复默认值，测试成功	收发 传真 运行 传真 测试 恢复 默认值 测试 成功
打印问题	云打印设置，传真手法方式，改手动接收ok time stamp :12/30/2014 11:46:29 wook.zhang	云打印设置，传真手法方式，改手动接收ok	云 打印 设置 传真 手法 方式 ，改 手动
无法打印	无法打印 图标有感叹号 端口正常 后台服务未运行 带用户开启打印服务 启动类型改自动 打印测试页失败 刷端口 无效 添加打印机 无效 建议添加1108打印机尝试 time stamp :12/26/2014 16:47:30 wei.wu 回电 表示今天休息 周一回电 time stamp :12/27/2014 09:35:26 wei.wu 回电通话中 time stamp :12/29/2014 15:10:05 wei.wu 回电无人接听 再次来电，带用户下载1108驱动，预约回电 回电，用户表示自己系统有些问题，自己重装系统了，有问题再联系 time stamp :12/30/2014 10:38:56 cindy.gu	无法打印 图标有感叹号 端口正常 后台服务未运行 带用户开启打印服务 启动类型改自动 打印测试页失败 刷端口 无效 添加打印机 无效 建议添加1108打印机尝试	打印 图 标 感叹号 端口 后台 未 运行 带 开启 打印 启动 类型 改 自动 打印 测试 页 失败 刷 端口 无效 添加 打印机 无效 添加 1108 打印机
传真问题	用户传真不会，待用户确认连线，接反了，更改了与800测试成功。 time stamp :12/30/2014 13:33:22 jeff.xu	用户传真不会，待用户确认连线，接反了，更改了与800测试成功。	传真 ，待 线 接 反 更改 800 测试 成功
传真问题	不会传真 带打印 测试页 短线 回电忙 time stamp :12/30/2014 15:32:36 bill.sun 回电正常 time stamp :12/30/2014 17:10:21 bill.sun	不会传真 带打印 测试页 短线 回电忙	传真 带 打印 测试 页 短 线
不能打印	不能双面打印 设置打印首选项里不能选择到双面打印。建议重装驱动程序。 time stamp :12/30/2014 09:35:31 wendy.lu 回电用户 自己调试之后使用word 可以双面打印了。 time stamp :12/30/2014 16:09:43 wendy.lu	不能双面打印 设置打印首选项里不能选择到双面打印。建议重装驱动程序。	双面 打印 设置 打印 首选 项里 选择 双面 打印 重 装 驱动 程序
驱动安装	用户来电表示驱动安装不上，带用户卸载重装还是不行，建议换电脑 time stamp :12/24/2014 17:03:33 eirsen.zha 回电：用户表示自己是网吧里面的，暂时无法更换电脑尝试 time stamp :12/30/2014 09:52:54 eirsen.zha	用户来电表示驱动安装不上，带用户卸载重装还是不行，建议换电脑	驱动 安装不上 带 卸载 重 装 不行 换 电脑
传真问题	打印错误报告 没用过传真 运行传真测试有效插口失败 纠正连线 设置成手动 测试提示是否从玻璃面板发送 恢复默认值 和800测试收发正常 time stamp :12/30/2014 13:04:37 joy.cheng	打印错误报告 没用过传真 运行传真测试有效插口失败 纠正连线 设置成手动 测试提示是否从玻璃面板发送 恢复默认值 和800测试收发正常	打印 错误 报告 没用 传真 运行 传真 测试 插口 失败 纠正 线 设置 成 手动 测试 提示 玻璃 面板 发送 恢复 默认值 800 测试 收发
打印质量	用户来电打印发送的文档 底面灰色 字体是白色的 打印自检正常 自己的图片打印正常 把图片放入word打印不正常 发邮件 800打印正常 建议用户更换图片查看器尝试 time stamp :12/30/2014 14:34:16 harry.zhu	用户来电打印发送的文档 底面灰色 字体是白色的 打印自检正常 自己的图片打印正常 把图片放入word打印不正常 发邮件 800打印正常 建议用户更换图片查看器尝试	打印 发送 文档 底 面 灰色 字体 白色 打印 自检 图片 打印 图片 放 入 word 打印 不 发 邮件 800 打印 图片 查看 器
传真问题	电脑接收传真告知没有，运行传真测试正常，降速，就错，测试只能手动，恢复默认自动正常，电脑发送传真，不行，重组不行，换电脑 time stamp :12/30/2014 11:43:09 bonnie.shi 回电还是不行，现在没有时间安装，以后再说，有问题来电或到就近维修站 time stamp :12/30/2014 16:10:57 bonnie.shi	电脑接收传真告知没有，运行传真测试正常，降速，就错，测试只能手动，恢复默认自动正常，电脑发送传真，不行，重组不行，换电脑	电脑 传真 没有 运行 传真 测试 降速 错 测试 只能 手 动 恢复 默认 自动 电脑 发送 传真 不行 重组 不行 换 电脑
传真问题	咨询是否可以电脑接收传真，告知不能 time stamp :12/30/2014 15:08:09 elma.sun	咨询是否可以电脑接收传真，告知不能	咨询 电脑 传真
驱动安装	驱动安装不上，发送net3.5链接和1108替代驱动尝试 time stamp :12/30/2014 12:37:36 vivian.lu 回电，用户表示应该没什么问题，有问题再来电 time stamp :12/30/2014 13:54:22 vivian.lu	驱动安装不上，发送net 3.5链接和1108替代驱动尝试	驱动 安装不上 发送 net 3.5 链接 1108 替代 驱动
传真问题	无法传真，报告全通过，传真四步，正常传真。 time stamp :12/30/2014 15:03:14 cliff.cao	无法传真，报告全通过，传真四步，正常传真。	传真 报告 全 传真 四步 传真
传真问题	用户来电没有信号音，其他正常，线路连反了，带用户重新连线， time stamp :12/29/2014 10:27:14 angie.zhang 回电无人接听 time stamp :12/29/2014 14:30:58 angie.zhang 回电线连反了，可以传真，问题已解决 time stamp :12/30/2014 16:50:02 angie.zhang	用户来电没有信号音，其他正常，线路连反了，带用户重新连线，	没有 信号 音 线路 反 带 线
传真问题	不知道怎么传真，告知操作方法，回电 回电：告知发送方法，与800测试ok time stamp :12/30/2014 09:50:36 elma.sun	不知道怎么传真，告知操作方法，回电 回电：告知发送方法，与800测试ok	不 传真 操作 方法 发送 方法 800 测试
